X,Y,Z,formation
700,250,900,Main_Fault
600,250,600,Main_Fault
500,250,300,Main_Fault
800,250,1200,Main_Fault
900,250,1500,Main_Fault
700,750,900,Main_Fault
600,750,600,Main_Fault
500,750,300,Main_Fault
800,750,1200,Main_Fault
900,750,1500,Main_Fault
100,250,400,Sandstone
400,250,400,Sandstone
900,250,700,Sandstone
1100,250,700,Sandstone
100,750,400,Sandstone
400,750,400,Sandstone
900,750,700,Sandstone
1100,750,700,Sandstone
100,250,600,Limestone
400,250,600,Limestone
900,250,900,Limestone
1100,250,900,Limestone
100,750,600,Limestone
400,750,600,Limestone
900,750,900,Limestone
1100,750,900,Limestone
